"","feature1","feature2","OrganizationIdentifier.x","OrganizationFormalName.x","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName.x","OrganizationIdentifier.y","OrganizationFormalName.y","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName.y","StName","Year","Month","Duplicated","dtec_condition","dt_Missing","u_Missing","Missing","ActivityMediaSubdivisionName2","ResultMeasure.MeasureUnitCode2","ProviderName.x2","ResultSampleFractionText2","ResultAnalyticalMethod.MethodName2"
"128","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700098","Sample-Routine","Water","Surface Water","2017-04-28","09:00:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-51502A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",30.1,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-07","","",NA,"","2017-05-04","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",4,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"129","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700134","Quality Control Sample-Field Replicate","Water","Surface Water","2017-05-16","08:50:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-51501A","","Stable, high stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",367,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-26","","",NA,"","2017-05-23","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"130","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700137","Sample-Routine","Water","Surface Water","2017-05-31","09:30:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-51503A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",823,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-06-20","","",NA,"","2017-06-12","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"131","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700159","Sample-Routine","Water","Surface Water","2017-06-29","08:10:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-51482A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",497,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-07-11","","",NA,"","2017-07-10","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"132","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700180","Sample-Routine","Water","Surface Water","2017-08-15","11:00:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-52247A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",49.3,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-27","","",NA,"","2017-08-21","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",8,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"133","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01800001","Sample-Routine","Water","Surface Water","2017-10-17","09:30:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03303280","MM-53577A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",20,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-11-01","","",NA,"","2017-10-30","NWIS","USGS-KY","USGS Kentucky Water Science Center","OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN","Stream","",5140201,97000,"sq mi",NA,"",37.8995009,-86.7055418,NA,"5","seconds","Interpolated from MAP.","NAD83",347.33,"feet",0.01,"feet","Unknown.","NGVD29","US",18,123,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",10,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"134","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700024","Sample-Routine","Water","Surface Water","2017-01-03","12:00:00","CST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-50053A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",68.8,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-01-18","","",NA,"","2017-01-13","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",1,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"135","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700042","Sample-Routine","Water","Surface Water","2017-01-25","12:40:00","CST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-50048A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",51.2,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-02-09","","",NA,"","2017-02-08","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",1,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"136","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700052","Sample-Routine","Water","Surface Water","2017-02-01","12:00:00","CST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","USGS - Kentucky Water Science Center","USGS-03378500","MM-50608A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",58,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-02-16","","",NA,"","2017-02-15","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",2,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"137","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700063","Sample-Routine","Water","Surface Water","2017-02-21","12:30:00","CST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-50609A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",40.9,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-03-09","","",NA,"","2017-03-07","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",2,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"138","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700087","Sample-Routine","Water","Surface Water","2017-03-08","12:50:00","CST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","USGS - Kentucky Water Science Center","USGS-03378500","MM-50610A","","Stable, high stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",88.7,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-03-23","","",NA,"","2017-03-20","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",3,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"139","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700097","Sample-Routine","Water","Surface Water","2017-03-28","13:30:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-50611A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",35.2,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-04-13","","",NA,"","2017-04-10","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",3,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"140","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700102","Sample-Routine","Water","Surface Water","2017-04-12","11:20:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","USGS - Kentucky Water Science Center","USGS-03378500","MM-50612A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",83.6,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-04-26","","",NA,"","2017-04-24","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",4,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"141","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700099","Sample-Routine","Water","Surface Water","2017-04-27","10:30:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-51505A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",208,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-07","","",NA,"","2017-05-04","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",4,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"142","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700135","Sample-Routine","Water","Surface Water","2017-05-15","12:20:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","USGS - Kentucky Water Science Center","USGS-03378500","MM-51507A","","Stable, high stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",2880,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-26","","",NA,"","2017-05-23","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"143","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700160","Sample-Routine","Water","Surface Water","2017-06-28","11:20:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-51508A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",2040,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-07-11","","",NA,"","2017-07-10","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"144","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700175","Quality Control Sample-Field Replicate","Water","Surface Water","2017-07-24","12:20:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-52329A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",895,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-04","","",NA,"","2017-07-31","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",7,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"145","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01700181","Sample-Routine","Water","Surface Water","2017-08-14","12:00:00","CDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-52328A","","Stable, low stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",192,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-27","","",NA,"","2017-08-21","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",8,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"146","IN","Metolachlor","USGS-KY","USGS Kentucky Water Science Center","nwisky.01.01800002","Sample-Routine","Water","Surface Water","2017-10-16","11:20:00","CDT","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03378500","MM-53578A","","Stable, low stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96 bag sampler","","Dissolved",225,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-11-01","","",NA,"","2017-10-30","NWIS","USGS-KY","USGS Kentucky Water Science Center","WABASH RIVER AT NEW HARMONY, IN","Stream","",5120113,29234,"sq mi",NA,"",38.1319901,-87.9403079,NA,"1","seconds","Interpolated from MAP.","NAD83",353.07,"feet",0.01,"feet","Differentially corrected Global Positioning System.","NGVD29","US",18,129,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",10,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"147","IN","Metolachlor","INSTOR_WQX","Indiana STORET","INSTOR_WQX-AB33165.CHEM","Sample-Routine","Water","","2018-06-20","03:00:00","EST","","","",NA,"","",NA,"",NA,"","2064","","INSTOR_WQX-2655","","","","","Unknown","Unknown","Unknown","Miscellaneous (Other)","","Total",0.9,"ug/l","","Final","","Actual","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"525.2","INSTOR_WQX","525.2","","ISDH","2018-06-26","","Laboratory Reporting Level",0.18,"ug/l","","STORET","INSTOR_WQX","Indiana STORET","OML060-0004","River/Stream","SR 350, East of Osgood",5090203,NA,"",NA,"",39.1485746606,-85.2534903211,NA,"","","Unknown","UNKWN",NA,"",NA,"","","","US",18,137,"","","",NA,NA,"",NA,"","STORET","Indiana","2018",6,"No","D","No","No","No","Unknown","ug/l","STORET","Total","525.2"
"148","IN","Metolachlor","INSTOR_WQX","Indiana STORET","INSTOR_WQX-AB33533.CHEM","Sample-Routine","Water","","2018-07-05","02:00:00","EST","","","",NA,"","",NA,"",NA,"","2064","","INSTOR_WQX-2655","","","","","Unknown","Unknown","Unknown","Miscellaneous (Other)","","Total",0.5,"ug/l","","Final","","Actual","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"525.2","INSTOR_WQX","525.2","","ISDH","2018-07-10","","Laboratory Reporting Level",0.18,"ug/l","","STORET","INSTOR_WQX","Indiana STORET","OML060-0004","River/Stream","SR 350, East of Osgood",5090203,NA,"",NA,"",39.1485746606,-85.2534903211,NA,"","","Unknown","UNKWN",NA,"",NA,"","","","US",18,137,"","","",NA,NA,"",NA,"","STORET","Indiana","2018",7,"No","D","No","No","No","Unknown","ug/l","STORET","Total","525.2"
